question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Meta (META) Up or Down on November 19?,Up,Down,0.1,20,10,10,10,10,8.4,1.19,50,0,6.82,4.82,3.95,2.8,2.8,2.8,0.45,0.55,0.5,3.5,0.01,FALSE,meta-up-or-down-on-november-19-2025,25421962999670474485189085840313115319671991868905247134412994309663503326316,4757960349554676975335086515009397803826197145878812694629827056642416966808,0xbb1d7f20bed7673edc8b966cf8ae96e664d885edec152810340e49aa46f561dc
NYA (NYA) Up or Down on November 19?,Up,Down,0.98,20,10,10,10,10,8.37,1.19,50,0,0,0,2.77,2.79,2.79,2.79,0.01,0.99,0.5,3.5,0.01,FALSE,nya-up-or-down-on-november-19-2025,52626334933422171893278327259208189923772984158741055362658612319681560771665,108341252520038295694822431734965884671321592882393839418672246752369580416356,0xbd98ac8b4ffe69728f0dadd61a1092b8600845ec011af5ea250747aa4beaff6f
Ranger FDV above $30M one day after launch?,Yes,No,0.71,20,10,10,10,10,16.26,0.62,50,5.76,4.38,5.74,5.49,5.42,5.42,5.42,0.15,0.86,0.5,3.5,0.01,FALSE,ranger-fdv-above-30m-one-day-after-launch,70775810552688403539056030064328753707542651818571270274848999164624669623126,22030728982785804603124006216456917031688283306757891406679430179158647703558,0x32c8b5338ceee5c4b600c2de3764856678a05cbbd60341b55f854dc11d7be2c6
Will Infrared launch a token by December 31 2026?,Yes,No,0.65,20,10,10,10,10,15.51,0.64,50,0,6.08,5.4,5.27,5.17,5.17,5.17,0.25,0.9,0.57,3.5,0.01,FALSE,will-infrared-launch-a-token-by-december-31-2026,98510210317510658592567508424772704357893805348181826398143652197934973786471,8888432334678117753156057410488752892309484217325817814069453292369476675078,0x1d6886a554874ec350682f3ef968d8776942ad5bf37b5f0d53c12498a68c6926
Will Meta (META) finish week of November 17 above $600?,Yes,No,0.04,20,5.34,5.34,5.35,5.34,16.65,0.32,20,4.79,2.91,3.64,3.35,5.55,5.55,5.55,0.45,0.49,0.47,4.5,0.01,FALSE,meta-above-600-on-november-21-2025,4506423704720129533762334435472929204024634961714598865859279509071666266938,45408247794033894044886363034599133977549687920911001308441748476276685749063,0x64ca5ceee3ddd925c159013f4778c62c93dd5ffbadc87ede4c2cfeff639430a6
Will Palantir (PLTR) finish week of November 17 above $168?,Yes,No,0.03,20,5.3,5.3,5.19,5.42,19.92,0.27,20,9.29,6.2,5.03,4.42,6.64,6.64,6.64,0.49,0.52,0.5,4.5,0.01,FALSE,pltr-above-168-on-november-21-2025,10082243570853307742813067381943975246185102781295514525507038502539734324612,48590113940961171434794508417067717229344532008912862880064276610992231285394,0x23bff4e4f7b6f5ebd898bc3c027e8d27e0b4d39e2236302620f6cb4d806731d9
Will Tesla (TSLA) finish week of November 17 above $400?,Yes,No,0.04,20,5.14,5.14,4.89,5.4,12.18,0.42,20,7.92,4.64,3.3,3.89,4.06,4.06,4.06,0.51,0.55,0.53,4.5,0.01,FALSE,tsla-above-400-on-november-21-2025,82219895768433278022933803601462213157425874994902620673665003709177573030904,29321026276391427635368864708632405773732840703590057404971330600541928832514,0xf51811f52b5c4a842999f39f25fd7c949ff1176586291db91529180be1dd1952
Will Airbnb (ABNB) finish week of November 17 above $115?,Yes,No,0.03,20,5.07,5.08,4.87,5.28,11.82,0.43,20,0,2.68,2.71,3.95,3.94,3.94,3.94,0.51,0.54,0.52,4.5,0.01,FALSE,abnb-above-115-on-november-21-2025,22356177377087183608420380141775743794586930144013022186969721833825974289824,31095427712778061644054860569867594169713565127100245439461006430326048106048,0x98cffc049686f0a8690547fb3bf880c609efc06a2a586861e560aa3470f91d3c
Netflix (NFLX) Up or Down on November 19?,Up,Down,0.04,20,5,5,5.27,4.74,4.23,1.18,50,0,3.98,2.81,1.99,1.41,1.41,1.41,0.48,0.52,0.5,3.5,0.01,FALSE,nflx-up-or-down-on-november-19-2025,21189719380285943913011590691724673164511890637354199192283862223030581679290,26130983700070655652510554760085928812025381858333132986336862376731393669146,0x6077258296cc47a43ba9d7878c14ccb270cb9bd064fa91015fe5f221846754d3
Airbnb (ABNB) Up or Down on November 19?,Up,Down,0.02,20,4.58,4.58,4.61,4.55,0,inf,50,0,0,0,0,0,0,0,0.49,0.51,0.5,3.5,0.01,FALSE,abnb-up-or-down-on-november-19-2025,50038876556128054191505809063373623492192770281898060738045628249179668206458,22383277599423321683484380205469938631096332697133704825514689722128380502359,0x78e7283c5e13647a91e0c1bf3a896d428329366284871875de7e514c11c190bc
Will Amazon (AMZN) finish week of November 17 above $220?,Yes,No,0.02,20,4.37,4.38,4,4.77,16.41,0.27,20,0,0,2.39,5.54,5.47,5.47,5.47,0.59,0.61,0.6,4.5,0.01,FALSE,amzn-above-220-on-november-21-2025,55767914260935031975506849988443402374244075182658507352166073490871285204844,1131387440739823775372578940523610920963238865214321842125563122485232013141,0xc390e367bbc89eecb053c58be1a81a7886b7ae8dfd3a85c08feb51142a4e53ea
Will Arc launch a token by March 31 2026?,Yes,No,0.02,20,4.07,4.12,4.8,3.45,19.17,0.21,20,0,5.65,7.91,6.37,6.39,6.39,6.39,0.58,0.6,0.59,3.5,0.01,FALSE,will-arc-launch-a-token-by-march-31-2026,77298441793537419095063590680285072556966150477405260335909963252373072837378,83369338467709266344613424238589459019538622789461897525909669361023081506978,0xb7b2f1550f33f546305dddefb5c79c605fb51fda341df667e58d867b64b2cbbb
