question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Will Trump sign the Epstein Disclosure Bill on November 19?,Yes,No,0.01,1200,118.87,125.33,165.06,85.6,236.52,0.5,200,89.76,102.6,73.24,59.39,78.84,78.84,78.84,0.48,0.49,0.49,4.5,0.01,TRUE,will-trump-sign-the-epstein-disclosure-bill-on-november-19,7304103206122338981036231252148418347223866287317995541443362309144858168476,55576471032399305381302238637319486628053926259786213533264346369033414565194,0x2e956c939e0bee2fc22ccea7f3122635ef6a829747a9c16207fcdd594c694dc9
Will Trump sign the Epstein Disclosure Bill on November 20?,Yes,No,0.03,500,34.28,34.51,38.51,30.51,295.11,0.12,200,19.79,16.61,20.12,81.45,98.37,98.37,98.37,0.32,0.35,0.34,4.5,0.01,TRUE,will-trump-sign-the-epstein-disclosure-bill-on-november-20,91468771724914882057968579450321215934958415924322181006716330623974140897720,68851424528003346770819109732503426551041516288141341404568941066215961321720,0x5ca7f7c40e5dbce4b00c5bd586f18445a3f8ef3efd7150a7e725e60df64d51ac
Will Trump sign the Epstein Disclosure Bill on November 24?,Yes,No,0.007,300,30.56,34.48,50.45,18.51,571.23,0.05,200,157.82,125.72,175.55,180.95,190.41,190.41,190.41,0.005,0.012,0.01,4.5,0.001,TRUE,will-trump-sign-the-epstein-disclosure-bill-on-november-24,59742011069602199204176949665334728364748976004347369986827274134464283768198,6868086229967776395367896908184994239330341745018508670186300522717477755249,0x67b250aedf9602a985ff6f47124a558412c0ea00646115234d3d795399406277
Will Trump release the Epstein files by November 21?,Yes,No,0.02,150,24.63,24.63,24.96,24.3,226.8,0.11,200,0,0,53.11,52.11,75.6,75.6,75.6,0.04,0.06,0.05,4.5,0.01,FALSE,will-trump-release-the-epstein-files-by-november-21,9797719905061645606677699114786361737970615102554579904543163629105136318615,19224961519572805683125619732034311572060090803520562471796992536176215281673,0xf9af27e8b17490719e588e098512f89d58eb5702f4781ea682f2e2ac81688581
Over $600M committed to the Monad public sale?,Yes,No,0.01,200,23.42,29.32,46.97,11.68,64.12,0.37,100,18.62,37,32.37,27.76,21.7,21.21,21.21,0.28,0.29,0.28,3.5,0.01,FALSE,over-600m-committed-to-the-monad-public-sale-226-393,108752939681377150687334949550002966716999203606653030120268820072820568683592,33080140563383511418532315332574927333812172302144496780250663034400029296637,0x1639beb1e60b6eb6d36613e9e4ad1baf1f7ae21c011a4ddf65966bfce58cb62a
Epstein client list released in 2025?,Yes,No,0.01,250,20.35,21.4,14.79,28,216.51,0.09,200,0,21.3,15.27,72.17,72.17,72.17,72.17,0.11,0.12,0.12,3.5,0.01,FALSE,epstein-client-list-released-in-2025-372,105419655119502407661401461816856849716322392329083638486317786795184412619195,18657275600571155764148346009277754274814643884566501636966322755824977492294,0x0576b194302d7d0a3f7bfc1b843cef4a5c9d582a3f424f879c15441feed78f01
Will Trump release the Epstein files by November 30?,Yes,No,0.01,300,20.3,20.31,21.09,19.53,221.07,0.09,200,27.84,22.02,15.77,39.13,73.69,73.69,73.69,0.24,0.25,0.24,4.5,0.01,FALSE,will-trump-release-the-epstein-files-by-november-30,10140294754334295812883636430852874207041625887079511684262977351428880248568,50218526944056079570845990374922792664874570178782199902514813785256856589212,0x581ea2e0e1b796f217f7d72e8517592c2f02de25139bb75b83c4580ffed339e7
Will the Monad public sale commitments be between $600M and $800M?,Yes,No,0.01,250,19.57,21.76,31.29,12.24,119.76,0.16,100,0,24.1,32.63,24.68,21.08,49.34,49.34,0.14,0.15,0.14,4.5,0.01,TRUE,will-the-monad-public-sale-commitments-be-between-600m-and-800m,34561663125871879558737177078601217916116640973081055527816391703727451065794,59222647124019003385309425894078503144896541860771146891423355059419963724124,0xfe5d444330095bc8891c56e4dc72ce49c67e73c32f1cc5a9cf530407b2efd9c7
Will the Monad public sale commitments be between $400M and $600M?,Yes,No,0.01,250,19.24,21.14,29.88,12.39,220.6,0.09,100,10.19,12.22,26.51,19.44,16.06,102.27,102.27,0.44,0.45,0.44,4.5,0.01,TRUE,will-the-monad-public-sale-commitments-be-between-400m-and-600m,84903761821442576810103870453055339206240216835733071262364142739116730924723,16290590717921894620384880020037075736634475526187837205815847216313303132871,0xf79cf17ad3ca6702858521952952bcdfb5b4aeb8c809ecfd37237c14d4182bce
Will global temperature increase by between 1.15ºC and 1.19ºC in November 2025?,Yes,No,0.05,50,17.57,17.57,17.38,17.76,231.24,0.08,20,121.21,92.41,65.77,61.19,77.08,77.08,77.08,0.24,0.29,0.26,4.5,0.01,TRUE,will-global-temperature-increase-by-between-1pt15c-and-1pt19c-in-november-2025,65490444003236403768555641373673328059892039825566004849970147859285323540284,1496538757042245204053498945160245550252785429816627281746841432051552402577,0x31ee1b81bfe9351d88ce8ac972df18d3637d396eb71685fceccc269aa5ba0ac2
